finding_key,sheets,ablations,representative_row_idx,finding_kind,finding_header,evidence_excerpt,annotator_2_zero_day_status,annotator_2_semantic_label,annotator_2_notes
"110::[single_var_cross_tx] maxManagementFee  tx-set -> setManagementFee(uint256), setMaxManagementFee(uint256)",110,B0;B1;B2;B3;B6,21,single_var_cross_tx,"[single_var_cross_tx] maxManagementFee  tx-set -> setManagementFee(uint256), setMaxManagementFee(uint256)","1. Start with initialization setting managementFee = 200. 2. Call setManagementFee(200) which is allowed because 200 <= maxManagementFee. 3. Later, governance might call setMaxManagementFee(100) because 100 <= MANAGEMENT_FEE_HARD_CAP. 4. Stored state becomes managementFee = 200 > maxManagementFee = 100, so the ""always"" invariant breaks, which was the following: managementFee <= maxManagementFee (always).",,,
"123::[multi_var_cross_contract] balances, userLocks  tx-set -> delegate(address), emergencyWithdraw()",123,B1;B6,87,multi_var_cross_contract,"[multi_var_cross_contract] balances, userLocks  tx-set -> delegate(address), emergencyWithdraw()","import { expect } from ""chai""; import { ethers, network } from ""hardhat""; import type { BigNumber } from ""ethers""; async function latestTimestampBN(): Promise<BigNumber> { const b = await ethers.provider.getBlock(""latest""); return ethers.BigNumber.from(b.timestamp); } // epoch = floor(ts / rewardsDuration) * rewardsDuration function upcomingEpoch(ts: BigNumber, rewardsDuration: BigNumber): BigNumber { return ts.add(rewardsDuration).div(rewardsDuration).mul(rewardsDuration); } async function setTime(ts: BigNumber) { await network.provider.send(""evm_setNextBlockTimestamp"", [ts.toNumber()]); await network.provider.send(""evm_mine""); } /* MVSI bug: emergencyWithdraw() clears balances.locked and returns tokens but doesn't clear userLocks/reconcile state */ describe(""AuraLocker PoC: ghost vote...",,,
"20::[single_var_cross_tx] mapMember_lastTime  tx-set -> calcCurrentReward(address), depositLPForMember(address,uint256,address)",20,B0;B1;B2;B3;B6,8,single_var_cross_tx,"[single_var_cross_tx] mapMember_lastTime  tx-set -> calcCurrentReward(address), depositLPForMember(address,uint256,address)","The test confirms an MV-SCAN hit. It is a griefing bug in the Spartan DAO, isn't currently in the ground truth list, and is identical to the pattern that M-04 points out for SynthVault at a different contract. I show that the victim deposits LP once, waits 10 days, and victim calls harvest(). The result is 50,000 SPARTA. The attack run: same setup. Before victim harvests, attacker calls to connect to the dao, then the victim harvests. The result is a griefing of the victim, from 50,000 SPARTA to 2 SPARTA. Attacker earns 0 SPARTA. This is a pay-to-grief scheme that allows an attacker to sacrifice some LP to almost completely nuke the victim's rewards with no direct profit involvement.",,,
"25::[single_var_cross_tx] auctions  tx-set -> auction(bytes12), payAll(bytes12,uint128)",25,B0;B1;B2;B3;B6,6,single_var_cross_tx,"[single_var_cross_tx] auctions  tx-set -> auction(bytes12), payAll(bytes12,uint128)","payAll doesn't delete the auction entry, so a fully-repaid vault remains permanently auctioned and cannot be re-auctioned.",,,
"58mellow-vaults::[multi_var_cross_contract] pendingParams, pendingParamsTimestamp, params  tx-set -> commitParams(), setPendingParams(IProtocolGovernance.Params)",58mellow-vaults,B0;B1;B2;B3;B6,13,multi_var_cross_contract,"[multi_var_cross_contract] pendingParams, pendingParamsTimestamp, params  tx-set -> commitParams(), setPendingParams(IProtocolGovernance.Params)","Genuinely new governance bug introducing an admin self-grief. I classify this as zero-day because it goes against intended behavior, specified by some of the findings (e.g. ""Bad actor on governance side cannot permanently lock protocol, pools, etc.""). Proof of correctness: Take any state with params.governanceDelay <= MAX_GOVERNANCE_DELAY. An admin calls setPendingParams(newParams) with newParams.governanceDelay > MAX_GOVERNANCE_DELAY, which passes because the require checks the old governanceDelay. After the delay, commitParams is called, setting params = pendingParams, so params.governanceDelay > MAX_GOVERNANCE_DELAY holds, and from then on every call to setPendingParams reverts at require(params.governanceDelay <= MAX_GOVERNANCE_DELAY). This means a (setPendingParams, commitParams) s...",,,
"5vader-protocol::[multi_var_cross_contract] mapCollateralAsset_NextEra, nextEraTime tx-set -> emitting()",5vader-protocol,B0;B1,20,multi_var_cross_contract,"[multi_var_cross_contract] mapCollateralAsset_NextEra, nextEraTime tx-set -> emitting()","Type: SI Why: A few known problems make this work: (1) [M-05] Interest growth is capped after 1 year due to how timeElapsed is computed. (2) [L-08] nextEraTime drifts because it is advanced from block.timestamp instead of from the previous era’s end. (3) [H-25] Mis-initialization can set era length to 1 second (emission rate x 86400). To show a zero-day here, I: initialized the Vader stack (Vether, Vader, USDV, Utils, Factory, Pools, Router, Vault), listed anchors, flipped emissions and minting, and converted VADER to USDV to give USDV non-zero supply. separated the 2 era clocks: USDV era: advanced time to just past USDV.nextEraTime and did a 1-wei USDV.transfer to trigger USDV._checkIncentives() (bumps nextEraTime). Pair era: advanced time to just past Router.getNextEraTime(col, debt)...",,,
"70::[single_var_cross_tx] twapData  tx-set -> getStaleUSDVPrice(), syncUSDVPrice()",70,B0;B1;B2;B3;B6,13,single_var_cross_tx,"[single_var_cross_tx] twapData  tx-set -> getStaleUSDVPrice(), syncUSDVPrice()","Symmetric to [H-04] pattern, here is the zero-day: syncUSDVPrice() is the exact same flaw from H-04, where we initialize local _totalLiquidityWeight = 0, skips pairs when timeElapsed < updatePeriod, and still writes totalLiquidityWeight[USDV] = _totalLiquidityWeight at the end. At a second call, all pairs have timeElapsed = 0 so all are skipped, which leads to _totalLiquidityWeight staying 0 and leads to the storage weight equaling 0. A sketch for an exploit: 1. Wait until >= 1 USDV pair is eligible for update. 2. Call syncUSDVPrice() once which updates lastMeasurement for updated pairs. 3. Call syncUSDVPrice() again immediately within the same block. 4. Now totalLiquidityWeight[USDV] == 0 until someone syncs after updatePeriod.",,,
70::[single_var_cross_tx] twapData  tx-set -> syncUSDVPrice(),70,B0;B1;B2;B3;B6,11,single_var_cross_tx,[single_var_cross_tx] twapData  tx-set -> syncUSDVPrice(),"Symmetric to [H-04] pattern, here is the zero-day: syncUSDVPrice() is the exact same flaw from H-04, where we initialize local _totalLiquidityWeight = 0, skips pairs when timeElapsed < updatePeriod, and still writes totalLiquidityWeight[USDV] = _totalLiquidityWeight at the end. At a second call, all pairs have timeElapsed = 0 so all are skipped, which leads to _totalLiquidityWeight staying 0 and leads to the storage weight equaling 0. A sketch for an exploit: 1. Wait until >= 1 USDV pair is eligible for update. 2. Call syncUSDVPrice() once which updates lastMeasurement for updated pairs. 3. Call syncUSDVPrice() again immediately within the same block. 4. Now totalLiquidityWeight[USDV] == 0 until someone syncs after updatePeriod.",,,
"72openleverage-contracts::[multi_var_cross_contract] activeTrades, markets, {markets}  tx-set -> closeTrade(uint16,bool,uint256,uint256,bytes), marginRatio(address,uint16,bool,bytes)",72openleverage-contracts,B2;B6,188,multi_var_cross_contract,"[multi_var_cross_contract] activeTrades, markets, {markets}  tx-set -> closeTrade(uint16,bool,uint256,uint256,bytes), marginRatio(address,uint16,bool,bytes)",Code available upon request,,,
