repo		ablation	contracts/scan/results elapsed time
17	sink_samevar	77c/1/74r (rc=255)	13.123	255
17	budget_0	77c/1/0r	11.520	0
17	budget_inf	77c/1/67r (rc=255)	13.965	255
18	baseline	29c/1/2r (rc=255)	8.128	255
18	no_init_only	29c/1/2r (rc=255)	8.312	255
18	no_admin_benign	29c/1/2r (rc=255)	6.158	255
18	sink_none	29c/1/2r (rc=255)	6.689	255
18	sink_samevar	29c/1/1r (rc=255)	6.590	255
18	budget_0	29c/1/0r	6.592	0
18	budget_inf	29c/1/2r (rc=255)	6.815	255
19	baseline	13c/1/6r (rc=255)	6.337	255
19	no_init_only	13c/1/6r (rc=255)	6.257	255
19	no_admin_benign	13c/1/6r (rc=255)	6.104	255
19	sink_none	13c/1/6r (rc=255)	6.094	255
19	sink_samevar	13c/1/0r	6.462	0
19	budget_0	13c/1/0r	6.518	0
19	budget_inf	13c/1/6r (rc=255)	5.852	255
192	baseline	96c/1/54r (rc=255)	16.677	255
192	no_init_only	96c/1/54r (rc=255)	17.931	255
192	no_admin_benign	96c/1/55r (rc=255)	18.710	255
192	sink_none	96c/1/55r (rc=255)	17.847	255
192	sink_samevar	96c/1/10r (rc=255)	16.881	255
192	budget_0	96c/1/0r	14.979	0
192	budget_inf	96c/1/54r (rc=255)	18.614	255
20	baseline	26c/1/41r (rc=255)	10.163	255
20	no_init_only	26c/1/41r (rc=255)	11.413	255
20	no_admin_benign	26c/1/41r (rc=255)	12.294	255
20	sink_none	26c/1/41r (rc=255)	10.220	255
20	sink_samevar	26c/1/10r (rc=255)	11.832	255
20	budget_0	26c/1/0r	9.724	0
20	budget_inf	26c/1/41r (rc=255)	10.263	255
21	baseline	69c/1/0r	11.598	0
21	no_init_only	69c/1/0r	10.070	0
21	no_admin_benign	69c/1/0r	9.645	0
21	sink_none	69c/1/0r	10.342	0
21	sink_samevar	69c/1/0r	12.811	0
21	budget_0	69c/1/0r	12.413	0
21	budget_inf	69c/1/0r	9.890	0
22/contracts	baseline	78c/1/21r (rc=255)	16.385	255
22/contracts	no_init_only	78c/1/21r (rc=255)	18.752	255
22/contracts	no_admin_benign	78c/1/21r (rc=255)	17.425	255
22/contracts	sink_none	78c/1/21r (rc=255)	18.263	255
22/contracts	sink_samevar	78c/1/7r (rc=255)	14.089	255
22/contracts	budget_0	78c/1/0r	14.220	0
22/contracts	budget_inf	78c/1/21r (rc=255)	15.899	255
24/pooltogether-mstable	baseline	8c/1/0r	14.355	0
24/pooltogether-mstable	no_init_only	8c/1/0r	15.772	0
24/pooltogether-mstable	no_admin_benign	8c/1/0r	14.050	0
24/pooltogether-mstable	sink_none	8c/1/0r	17.125	0
24/pooltogether-mstable	sink_samevar	8c/1/0r	14.386	0
24/pooltogether-mstable	budget_0	8c/1/0r	14.890	0
24/pooltogether-mstable	budget_inf	8c/1/0r	13.907	0
25	baseline	76c/1/9r (rc=255)	21.511	255
25	no_init_only	76c/1/9r (rc=255)	20.460	255
25	no_admin_benign	76c/1/10r (rc=255)	23.070	255
25	sink_none	76c/1/11r (rc=255)	21.947	255
25	sink_samevar	76c/1/3r (rc=255)	21.876	255
25	budget_0	76c/1/0r	20.735	0
25	budget_inf	76c/1/9r (rc=255)	20.982	255
27/cosmos-gravity-bridge/solidity	baseline	26c/1/5r (rc=255)	6.372	255
27/cosmos-gravity-bridge/solidity	no_init_only	26c/1/5r (rc=255)	6.284	255
27/cosmos-gravity-bridge/solidity	no_admin_benign	26c/1/5r (rc=255)	6.554	255
27/cosmos-gravity-bridge/solidity	sink_none	26c/1/5r (rc=255)	6.537	255
27/cosmos-gravity-bridge/solidity	sink_samevar	26c/1/0r	6.698	0
27/cosmos-gravity-bridge/solidity	budget_0	26c/1/0r	6.605	0
27/cosmos-gravity-bridge/solidity	budget_inf	26c/1/5r (rc=255)	7.016	255
36/contracts	baseline	22c/1/24r (rc=255)	8.339	255
36/contracts	no_init_only	22c/1/22r (rc=255)	7.620	255
36/contracts	no_admin_benign	22c/1/24r (rc=255)	8.251	255
36/contracts	sink_none	22c/1/24r (rc=255)	8.476	255
36/contracts	sink_samevar	22c/1/7r (rc=255)	8.703	255
36/contracts	budget_0	22c/1/0r	12.441	0
36/contracts	budget_inf	22c/1/24r (rc=255)	9.077	255
41/contracts	baseline	23c/1/33r (rc=255)	8.496	255
41/contracts	no_init_only	23c/1/30r (rc=255)	7.787	255
41/contracts	no_admin_benign	23c/1/30r (rc=255)	8.566	255
41/contracts	sink_none	23c/1/31r (rc=255)	10.216	255
41/contracts	sink_samevar	23c/1/7r (rc=255)	10.238	255
