ablation,semantic_total,scored_total,tp,zd,fp,precision_tp_plus_zd,excluded_total,excluded_mock,excluded_test,excluded_out_of_scope,excluded_other,excluded_unlabeled
B0,1592,1111,328,7,776,0.301530153015,481,166,148,26,140,1
B1,1637,1141,332,8,801,0.297984224365,496,166,163,27,139,1
B2,1628,1149,324,7,818,0.288076588338,479,165,151,27,135,1
B3,1765,1237,354,6,877,0.291026677445,528,201,150,33,142,2
B4,689,410,152,0,258,0.370731707317,279,92,134,10,41,2
B5,0,0,0,0,0,,0,0,0,0,0,0
B6,1619,1133,318,8,807,0.287731685790,486,165,149,25,146,1
