ablation_id,ablation_name,config_name,repos_total,repos_nonempty,contracts_total,wallclock_sum_s,mean_repo_s,median_repo_s,sec_per_contract
0,B0,baseline,61,53,4094,1034.864000,16.964984,13.741000,0.252775769419
1,B1,no_init_only,61,53,4094,921.167000,15.101098,13.305000,0.225004152418
2,B2,no_admin_benign,61,53,4094,1045.531000,17.139852,14.050000,0.255381289692
3,B3,sink_none,61,54,4094,1028.660000,16.863279,13.317000,0.251260381045
4,B4,sink_samevar,61,42,4094,1004.841000,16.472803,13.159000,0.245442354665
5,B5,budget_0,61,0,4094,975.780000,15.996393,13.452000,0.238343917929
6,B6,budget_inf,61,53,4094,1018.635000,16.698934,13.582000,0.248811675623
